index,anfitrion,distrito,plazas,precio
55,850654,Centro,3,19.0
272,3290138,Centro,2,20.0
793,1470394,Centro,1,20.0
810,9644407,Centro,1,20.0
893,10940437,Centro,10,20.0
897,10940437,Centro,8,21.0
995,13751801,Centro,1,21.0
711,8385568,Centro,1,22.0
895,10940437,Centro,6,22.0
896,10940437,Centro,8,22.0
