distrito,numero_medio_alojamientos
101471,0.3333333333333333
101653,0.3333333333333333
303845,0.3333333333333333
353738,1.3333333333333333
364585,0.6666666666666666
378073,1.6666666666666667
391014,0.3333333333333333
368907,0.3333333333333333
448981,0.3333333333333333
259229,0.3333333333333333
487095,0.3333333333333333
499977,0.6666666666666666
5795235,1.0
534515,0.3333333333333333
574498,0.3333333333333333
605612,1.0
606925,0.6666666666666666
632589,0.3333333333333333
723539,0.3333333333333333
805726,0.6666666666666666
814490,1.0
816497,0.3333333333333333
845399,1.3333333333333333
596469,2.6666666666666665
850654,0.6666666666666666
877571,1.0
927343,1.0
852616,0.6666666666666666
967721,0.3333333333333333
1004721,0.3333333333333333
1008659,0.3333333333333333
1732442,1.6666666666666667
1174648,0.3333333333333333
1130651,0.6666666666666666
1367452,0.3333333333333333
1373873,0.3333333333333333
1370007,0.3333333333333333
1406073,0.3333333333333333
1466005,0.3333333333333333
1473247,0.3333333333333333
1478367,0.3333333333333333
1496188,0.6666666666666666
901218,2.0
1522694,0.6666666666666666
4677030,0.6666666666666666
1596220,0.3333333333333333
1598163,0.3333333333333333
1095831,1.3333333333333333
1650712,1.0
1702905,0.3333333333333333
1713427,0.3333333333333333
1713524,0.6666666666666666
1714541,0.6666666666666666
1721158,0.3333333333333333
1722284,0.3333333333333333
1694537,0.3333333333333333
1703448,0.3333333333333333
1751133,0.3333333333333333
1791341,0.6666666666666666
1729503,0.3333333333333333
1868359,0.3333333333333333
1892467,0.3333333333333333
1981346,0.3333333333333333
1408525,4.333333333333333
1893660,0.3333333333333333
1973909,0.3333333333333333
2044655,1.3333333333333333
2068619,0.3333333333333333
2134007,0.3333333333333333
2184051,1.0
2201302,0.3333333333333333
2296476,0.3333333333333333
2302267,0.3333333333333333
2307294,0.3333333333333333
2332600,0.3333333333333333
2367126,0.3333333333333333
2376101,0.6666666666666666
2433045,0.3333333333333333
2456671,0.6666666666666666
2467212,0.3333333333333333
2480913,0.3333333333333333
2501740,0.3333333333333333
2517520,0.3333333333333333
2538187,0.3333333333333333
1150912,0.3333333333333333
2561320,1.0
2564339,1.6666666666666667
1652272,0.3333333333333333
2249249,0.3333333333333333
1134989,0.3333333333333333
2613319,0.3333333333333333
2569497,0.3333333333333333
2619962,0.3333333333333333
2659070,0.3333333333333333
2673517,0.3333333333333333
1091014,1.0
2659765,0.3333333333333333
