anfitrion,numero_alojamientos
13660,1
83531,2
101471,1
101653,1
114340,1
130907,3
132883,1
288380,1
303845,1
353616,1
353738,5
364585,2
378073,5
391014,1
401552,1
368907,2
448981,1
259229,1
487095,1
495849,1
499977,2
510570,1
527760,1
5795235,3
533936,1
534128,12
534515,1
361930,2
564773,1
574498,1
557423,1
605612,3
606925,2
632589,1
650803,1
666482,1
723539,1
739627,1
740087,5
780107,1
796746,1
805726,4
814490,3
816497,1
845399,4
596469,8
850654,2
877571,4
927343,3
852616,2
967721,1
749212,1
75944,1
1004721,1
1008659,1
124972,2
1031664,1
669927,1
1090760,1
1732442,5
1168897,1
1174648,1
1172225,2
1130651,2
1212528,1
630482,2
1351231,1
1367452,1
1351865,2
1373873,1
1374415,1
1370007,1
1406073,1
1466005,1
1473247,1
1478367,1
1496188,2
901218,6
1522694,2
4677030,3
1596220,1
1598163,1
1095831,4
1636378,1
1650712,3
1702905,1
1716726,1
1713427,1
1713524,2
1714541,5
1714866,1
1721158,1
1722284,1
1721232,1
1694537,1
1703448,2
1738288,1
1738846,1
1751133,2
1791341,2
1729503,1
1836617,1
1868359,1
1888816,2
1892467,1
1895571,1
1902834,1
1981346,1
1408525,15
1893660,1
2024487,1
1973909,1
2044655,4
2056009,1
2068619,1
9934732,1
1719263,2
2107994,1
2111994,2
2124765,1
2134007,1
1450430,1
2146727,1
2160658,1
2184051,3
1280726,1
2201302,1
2230279,1
617086,1
2296476,1
2302267,1
2307294,1
2320165,1
2322563,1
2332600,1
2367126,1
2376101,2
2376402,1
2391244,1
2417075,2
2419064,1
2433045,1
2436735,1
2456671,2
2467212,1
2470700,1
2480913,1
1932547,1
2501740,1
2517520,1
2536524,5
2538187,1
1150912,1
2561320,3
2563986,1
2564339,5
1652272,1
2576044,1
2249249,1
1134989,1
2613319,1
2569497,1
2619962,1
2634967,2
447969,1
2638528,1
2659070,1
2661721,1
1284868,1
2680319,1
2709614,1
2673517,1
1091014,4
2702003,1
2659765,1
2713304,1
2727360,1
2740430,1
2747005,3
2779192,1
2785251,2
2795931,1
2347489,1
1689652,1
2312712,1
2847013,2
2847360,1
2857508,1
2864064,5
2566589,1
2902269,1
2267893,1
2913511,2
153391,6
2940355,1
2952250,2
2678039,1
1567773,1
2960080,2
2990747,1
2991670,6
2993477,1
2783896,2
2999728,1
2581715,1
3010452,1
3017315,2
2174652,1
3053021,1
3062041,1
2773350,1
3117754,1
3121587,1
3141727,1
3214130,2
3290138,1
3226403,2
3235676,1
3244793,1
3249358,1
1375487,1
3329487,1
3352121,1
3385307,1
3432379,1
3317937,1
3466426,1
3469687,1
9228673,2
3483233,2
3487329,1
1941314,1
3494012,1
3508577,1
3357259,1
655088,2
3540348,2
3544353,1
3021792,1
3569462,1
3571619,1
3534151,1
3606346,3
3477002,1
3540591,2
3648882,1
3654886,1
3654108,1
3689490,1
3691303,1
3698406,1
1954334,1
3724500,1
3726310,1
2555202,1
3746437,1
3759135,1
2172169,1
498646,2
1566057,1
3797913,4
3730591,1
3821608,1
3825783,1
3771869,1
2236658,1
1735664,1
3591751,1
1625657,1
3951702,1
3898452,2
216570,1
3438657,1
3960415,1
3961468,1
3983613,2
3998859,1
690223,1
4008643,2
2670977,1
4012290,1
4032439,1
4036376,1
4053105,1
2695144,1
4069734,1
2991925,4
4083688,4
4083766,1
4112877,1
4068975,1
4118311,1
4103866,2
4128029,1
4132185,1
4161237,1
4180632,1
4181071,1
4198169,1
4203067,1
4235741,1
4277536,1
4159117,1
4281126,4
4286142,1
4292037,3
4295642,1
4305310,2
1341870,1
4211443,3
4280501,1
2333408,1
4354906,1
4356259,1
4365768,1
4190662,1
4310374,1
4084426,2
4279976,1
3298293,1
4410687,1
2489796,1
4424170,2
4424222,2
1331093,2
4433597,1
4424070,1
3726732,5
4247556,1
584351,1
4502639,1
1714750,2
4522970,1
3631892,1
2668849,1
2419618,1
4312150,1
4582755,2
1221103,1
4504807,1
4603165,1
4628173,1
3917443,1
2646146,4
4674072,1
4677458,1
4684397,1
4697070,1
4710774,1
4665174,1
4735460,7
4739098,1
4740276,1
1467260,1
4762305,1
4777959,1
4778528,1
266650,1
4819459,1
4826927,1
4831338,1
4839888,7
4860266,1
4903694,1
4905854,1
4651429,1
1574604,1
4967875,4
4974280,1
4975799,3
4977367,1
5031865,2
5052379,1
5084073,1
5114074,1
1738341,1
5132742,1
4722486,1
1425071,2
5198285,1
5211661,1
2483139,1
1647109,1
5302455,1
6363695,1
5347216,1
5360317,1
5386601,1
5389129,1
4839698,1
3585435,1
5343904,1
5516172,1
5521269,1
5528551,1
5542111,12
5577429,1
4361819,3
5606144,1
5618733,1
5649948,1
5712665,1
5719307,1
5722524,1
5751753,1
5759904,1
5785483,3
5798033,1
5801580,1
5814460,1
571765,1
5824815,1
2214378,1
5735364,1
5869715,1
5876034,1
5896428,1
5918751,1
5918969,1
5935817,1
5950981,1
2228918,1
5941001,1
3612732,1
5997842,1
993166,1
6053704,2
6072314,3
6075016,1
6104199,1
6112385,1
6119221,1
6152491,1
6191568,2
6191686,1
5870563,1
1450378,2
641820,1
6241052,1
6270912,1
6284655,1
6282893,2
6319722,1
6284734,1
4599639,6
547389,1
1706029,2
6369472,1
6408401,1
6420689,1
6412103,1
6427023,1
6436336,1
6443996,1
6466920,1
6483080,1
6490189,1
4790263,1
3331390,1
4440463,1
6636854,1
6566447,3
6711092,1
6598518,1
6749419,1
6754321,1
6755278,1
6818751,1
6832983,1
6730063,1
6774354,1
2067969,1
6844474,1
6861593,1
4304796,2
6928584,1
2833018,2
4003806,1
6944433,1
6871745,1
142989,1
7049661,1
4190343,3
7062138,1
6774514,1
7117225,1
7122460,1
7149341,1
7153063,1
7170175,1
7201628,1
7218465,2
1470394,2
7223907,1
5919800,1
7033920,2
7249376,1
3105381,1
7302534,1
7306349,1
7394119,1
7375454,1
7395294,1
4147804,1
7420783,1
7489861,2
2741468,1
7552386,1
7595958,1
5633658,1
7448200,1
7751680,1
5500409,2
7820252,1
7823688,2
6019735,1
7828783,1
7850049,1
7652350,1
7943769,1
8099011,1
8125749,1
8130428,1
8158807,1
8192639,1
4229531,1
8231348,1
8345477,1
8385568,1
6816328,1
3275902,2
8449261,1
4043145,1
3908006,1
8508444,1
1666293,1
7874554,1
8532170,1
5790036,1
1973600,1
3514685,1
8578326,1
8577935,1
6271519,1
3519148,1
8607668,1
8631882,1
8647044,3
8664077,1
8705535,4
8719029,1
8724268,1
1766434,1
8242728,1
8789737,2
8807899,1
8814428,1
8608997,1
8624564,1
8879010,1
8879142,2
8901422,1
8933508,1
8983711,1
8986611,1
8996173,1
1216993,1
9042464,1
4023064,3
4231218,2
9137401,1
9145004,1
5537924,1
9172209,1
9210324,1
9222331,1
3488397,1
3150192,1
9243583,1
9244612,1
9277975,1
3661209,1
9290112,1
7129474,1
5883486,1
8622607,1
6915283,1
2444553,2
9525646,1
9551147,1
9570589,1
9597850,1
9643400,1
9644407,1
2519411,1
8108510,1
1364024,1
9696587,1
9699624,1
9548677,1
9738650,1
8276432,1
9790541,1
9800520,1
5675916,1
8724478,1
9872400,1
9531372,1
1985408,1
82175,1
9940609,1
4068912,4
9278712,1
5149901,1
9594535,1
1784424,1
10189139,1
9250119,1
10215430,1
4618994,1
3698116,1
10402340,1
10516522,1
6979632,1
2750053,1
10544543,1
10550853,1
762655,2
3048290,4
8447678,1
10651006,4
10654623,1
10668178,1
6564220,1
7649063,1
2425848,1
927713,1
10863262,1
2541550,2
10916450,1
10940437,4
10942518,2
10974652,1
11116174,1
427419,1
11146984,1
2662680,1
11172003,1
11152132,1
11179787,1
11262545,1
11342272,1
11340614,1
11407661,1
11479457,1
11385250,1
5002446,1
7739367,1
11650026,1
1843216,2
11667662,1
8584829,1
3447304,2
8515277,1
10037966,1
4615520,1
7331716,1
11964814,1
9805902,1
2933277,1
12027564,1
12028707,3
12077356,1
12105600,1
757672,1
12183135,1
12252321,1
12481365,1
12641432,1
12698367,1
7038627,1
12202578,1
11824804,1
5514970,1
10569881,1
12799099,1
12791313,1
12691164,1
12904592,2
1890653,1
13097473,1
845407,2
6128492,1
13250761,1
13253937,1
13340216,1
9757922,1
13440901,1
13474925,1
13492658,1
13513088,1
13523635,1
13537715,1
13569734,2
13590063,1
1156753,1
4294898,1
13686767,1
13689103,1
13732037,1
13742566,2
13751801,1
13841663,1
